manufacturer,model,year,engine_power,fuel_type,transmission,odometr,price,region,description,price_category
Chevrolet,Nexia 3,2022.0,1.5,Benzin,Avtomat,8500,12500.0,Tashkent,"2022 yil,
                        
                                        1.5 l, Benzin, 8 500 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isit…",high
Chevrolet,Spark,2017.0,1.3,Gaz-benzin,Mexanika,300000,6500.0,Khorezm,"2017 yil,
                        
                                        1.3 l, Gaz-benzin, 300 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravl…",low
Chevrolet,Gentra,2023.0,1.6,Benzin,Avtomat,23000,15800.0,Andijan,"2023 yil,
                        
                                        1.6 l, Benzin, 23 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oy…",high
Mercedes-Benz,E 230,1985.0,1.8,Gaz-benzin,Mexanika,395000,5000.0,Namangan,"1985 yil,
                        
                                        1.8 l, Gaz-benzin, 395 000 km, To'q ko'k, Sedan, Uzatish qutisi Mexanika, Mers w124 E 230 moshina ideal Mator 111 nexi…",low
Chevrolet,Lacetti,2010.0,1.8,Gaz-benzin,Avtomat,147000,7500.0,Tashkent,"2010 yil,
                        
                                        1.8 l, Gaz-benzin, 147 000 km, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Oyna isitgich, Tu…",middle
Chevrolet,Cobalt,2022.0,1.5,Benzin,Avtomat,52,12500.0,Tashkent,"2022 yil,
                        
                                        1.5 l, Benzin, 52 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar,…",high
Chevrolet,Damas,2022.0,0.8,Gaz-benzin,Mexanika,35000,6800.0,Tashkent,"2022 yil,
                        
                                        0.8 l, Gaz-benzin, 35 000 km, Oq, Sedan, Uzatish qutisi Mexanika",low
Chevrolet,Gentra,2019.0,1.6,Benzin,Avtomat,83000,12200.0,Tashkent,"2019 yil,
                        
                                        1.6 l, Benzin, 83 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oy…",high
Chevrolet,Nexia 3,2018.0,1.5,Benzin,Avtomat,60000,9400.0,Surkhandarya,"2018 yil,
                        
                                        1.5 l, Benzin, 60 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Oyna isitgich, Tumanga qarshi…",middle
Chevrolet,Cobalt,2014.0,1.5,Benzin,Mexanika,167000,7800.0,Navoi,"2014 yil,
                        
                                        1.5 l, Benzin, 167 000 km, Kumush rang, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audio…",middle
Chevrolet,Spark,2012.0,1.3,Gaz-benzin,Mexanika,310,5000.0,Sirdarya,"2012 yil,
                        
                                        1.3 l, Gaz-benzin, 310 km, Kulrang, Hatchback, Uzatish qutisi Mexanika, Duga, Tumanga qarshi chiroqlar, Audiosistema,…",low
Chevrolet,Nexia 2,2014.0,1.6,Benzin,Mexanika,95000,6300.0,Tashkent,"2014 yil,
                        
                                        1.6 l, Benzin, 95 000 km, Sedan, Uzatish qutisi Mexanika, Audiosistema, Мошина бир кул минилган краска тоза пробег хал…",low
Chevrolet,Matiz,2014.0,0.8,Gaz-benzin,Mexanika,380000,3500.0,Tashkent,"Kami bor
                                                    2014 yil,
                        
                                        0.8 l, Gaz-benzin, 380 000 km, Kulrang, Hatchback, Uzatish qutisi Mexanika, Duga, Yengil qotishmali disklar, Ksenon, V…",low
Chevrolet,Matiz,2010.0,0.8,Benzin,Mexanika,273000,3500.0,Fergana,"2010 yil,
                        
                                        0.8 l, Benzin, 273 000 km, Kumush rang, Hatchback, Uzatish qutisi Mexanika, Audiosistema, Konditsioner, Машина в хорош…",low
VAZ,(Lada) 2106,2001.0,1.6,Gaz,Mexanika,35767,2761.0,Tashkent,"Kami bor
                                                    2001 yil,
                        
                                        1.6 l, Gaz, 35 767 km, Sedan, Uzatish qutisi Mexanika",low
Chevrolet,Cobalt,2024.0,1.5,Benzin,Avtomat,112,12779.0,Tashkent,"2024 yil,
                        
                                        1.5 l, Benzin, 112 km, To'q ko'k, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi…",high
Chevrolet,Damas,2010.0,1.1,Gaz-benzin,Mexanika,332222,4800.0,Kashkadarya,"2010 yil,
                        
                                        1.1 l, Gaz-benzin, 332 222 km, Oq, Sedan, Uzatish qutisi Mexanika, MATOR KAROPKA ZOR ZADNMOSTA OVZI BOR OZGINA VARYANT…",low
Chevrolet,Gentra,2022.0,1.6,Benzin,Avtomat,28000,13600.0,Samarkand,"2022 yil,
                        
                                        1.6 l, Benzin, 28 000 km, Sedan, Uzatish qutisi Avtomat, Lyuk, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oy…",high
Chevrolet,Spark,2021.0,1.3,Benzin,Mexanika,103000,8200.0,Samarkand,"2021 yil,
                        
                                        1.3 l, Benzin, 103 000 km, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali ru…",middle
Chevrolet,Cobalt,2023.0,1.5,Benzin,Avtomat,13300,12937.0,Tashkent,"2023 yil,
                        
                                        1.5 l, Benzin, 13 300 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroql…",high
Chevrolet,Spark,2012.0,1.0,Benzin,Mexanika,362000,4850.0,Tashkent,"2012 yil,
                        
                                        1 l, Benzin, 362 000 km, Kumush rang, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Butu…",low
Chevrolet,Matiz,2015.0,0.8,Gaz-benzin,Mexanika,160000,4500.0,Tashkent,"2015 yil,
                        
                                        0.8 l, Gaz-benzin, 160 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Audiosistema, машина узимни номимда битта питно…",low
Chevrolet,Nexia 3,2019.0,1.5,Gaz-benzin,Mexanika,105000,8600.0,Kashkadarya,"2019 yil,
                        
                                        1.5 l, Gaz-benzin, 105 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikal…",middle
Chevrolet,Malibu 2,2020.0,1.5,Gaz-benzin,Avtomat,115000,20000.0,Tashkent,"2020 yil,
                        
                                        1.5 l, Gaz-benzin, 115 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Malibu 2 1.5 turbo 900$ propan qoyilgan propanda 700…",high
Chevrolet,Nexia 3,2022.0,1.5,Benzin,Avtomat,18000,11800.0,Kashkadarya,"2022 yil,
                        
                                        1.5 l, Benzin, 18 000 km, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chir…",high
Kia,K5,2020.0,1.5,Gaz-benzin,Avtomat,76000,26000.0,Jizzakh,"2020 yil,
                        
                                        1.5 l, Gaz-benzin, 76 000 km, Oq, Uzatish qutisi Avtomat, 2 pazitsiya kiraskasi tozza",high
Chevrolet,Spark,2019.0,1.3,Benzin,Mexanika,136200,7200.0,Fergana,"2019 yil,
                        
                                        1.3 l, Benzin, 136 200 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikal…",low
VAZ,(Lada) 2106,2000.0,1.6,Benzin,Mexanika,999999,2800.0,Tashkent,"2000 yil,
                        
                                        1.6 l, Benzin, 999 999 km, Sedan, Uzatish qutisi Mexanika, Vaz 2106 mator xadavoy zo'r Yonilg'i: GAZ/Benzin 4 ta balon…",low
